"","cm","mi"
"R^2",0.989931415677791,0.0570994499744223
"AdjR^2",0.989684333853933,0.0398512691812715
"mi",0.995670463791325,NA
"arvr",0.00146441559388651,-0.134377662902719
"ist",0.00670483813819636,0.0992648849005013
"apro",-0.00701430831173364,0.16247676885075
