"","x"
"1",0.0878026339550142
"2",0.0546221720884745
"3",0.0822470850554902
"4",0.064820860916167
"5",0.133343886028706
"6",0.214482570955028
"7",0.0193966529895295
"8",0.0886576286711988
"9",0.0455417829335727
"10",0.0611199377595848
"11",0.0719778363894148
"12",0.0607178679417658
"13",0.168369642150953
"14",0.124925265823153
"15",0.0450287799748923
"16",0.0341533149601335
"17",0.0828760075159408
"18",0.0599682732081064
"19",0.0667097830953514
"20",0.131570212191573
"21",0.0320048023491726
"22",0.0500365749697119
"23",0.150051640951536
"24",0.0723905558212911
"25",0.0686218817672987
"26",0.0846975021704345
"27",0.0262560703675634
"28",0.0943622767736389
"29",0.0678909973654372
"30",0.0678909973654372
"31",0.0915048006754621
"32",0.0822964844566615
"33",0.0651155459924332
"34",0.0602513655915948
"35",0.159139088134958
"36",0.0213268444210557
"37",0.0546221720884745
"38",0.0452519308482991
"39",0.0769450171392269
"40",0.0457120800009459
"41",0.0672844538170188
"42",0.053697474165947
"43",0.0504306483426913
"44",0.0889718258256311
"45",0.0729482335628295
"46",0.0444336846155031
"47",0.0408793535064909
"48",0.097763661703596
"49",0.26538137901454
"50",0.0861122837870128
"51",0.0298321557872512
"52",0.155586756978754
"53",0.0793160103547239
"54",0.0426152433621273
"55",0.0575436704712721
"56",0.0423152877325858
"57",0.120825913088824
"58",0.0239805750483988
"59",0.0659667023722884
"60",0.020018300704256
"61",0.043771485541289
"62",0.0659878374336006
"63",0.132654967435512
"64",0.0178455657302807
"65",0.103727943384944
"66",0.112374317115612
"67",0.0503206775191286
"68",0.0991941933809931
"69",0.123740823328238
"70",0.0735000296089246
"71",0.063355471567171
"72",0.0704812843105635
"73",0.106595610600012
"74",0.0616960433696208
"75",0.0715439972527839
"76",0.189006275247277
"77",0.116146286747552
"78",0.0615917934024083
