"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"1",0.0281285849876303,0.00283057483457871,0.000850150378149021,0.193030207641725,0.0582981546315131
"2",0.00782667799919813,0.00827216465973469,0.00149612815760939,0.0462355739026764,0.0256991675483972
"3",0.0146945652740158,0.00428913184700662,0.0207172369027925,0.0042351584384607,0.015182973020475
"4",0.0072222672070222,0.00124637178757015,0.00676191132767926,0.0160307122570591,0.0236090023020634
"5",0.0107089571784377,0.0040968846774703,0.00137555961499523,3.433519673569e-06,0.117507033253758
"6",0.0108550712666586,0.000301394940539351,0.00590018940219795,0.0103787934871361,0.140402722849908
"7",0.051308162397576,0.270702069742042,0.016343941951755,0.000167790294173207,0.0383673350837112
"8",0.0340571193459315,0.00214950939799286,0.119912306261176,0.203666561747929,0.0393386886040218
"9",0.0198347808196594,0.000864728662011274,0.0218423998281932,0.000705416804956294,0.00235857756354039
"10",0.0104804659915327,0.00183509483182797,0.00955547043520375,0.0132592611433237,0.00229152409022827
"11",0.0460102702934213,0.0060415890061034,0.0404901001662344,0.000304397451926117,0.189503145754001
"12",0.0269507607864054,0.00876583894535891,0.000395885769487963,0.0191137470018207,0.00567081463901776
"13",8.99660982593432e-05,0.00254046972678033,0.00205789838491696,0.00101090092733091,0.0284941825223932
"14",0.011914104783045,0.0149731981517046,0.00350563676774554,4.39808944816364e-05,0.000106051439366844
"15",0.0041492426972054,0.00559597175136402,0.00981450054145742,0.00812081928412667,0.0863859460214388
"16",0.00878607459836073,0.0328977048479302,0.0120971817991879,0.011049235235325,0.0120221298353725
"17",0.00585421778092178,0.00661594112816675,0.062894397042104,0.00192259850886673,0.0907508865500897
"18",0.0269268456497903,0.00261076938941856,0.0641781065697868,0.0439622191519541,0.0333770822610282
"19",0.00136028486735618,0.0076602794205785,0.0023614946096666,0.0302980369855142,0.0350557051085294
"20",0.0311700728448682,0.0644176677349757,0.00588570180983923,0.0293843042465575,0.108312617455154
"21",0.000926077395713767,0.00147009258738054,0.0035809835364486,0.0980276018814794,8.65087867869416e-05
"22",0.0131079491646639,0.00035376911581397,0.0233003291931794,0.00308139971605555,0.0112073663337684
"23",0.0231538053146871,0.00417537639102995,0.0870236201121857,0.005989758465869,0.00332896109288618
"24",0.0129083939249376,0.00116670911719724,0.0196162058302874,0.0123206625292386,0.000505740494683608
"25",0.0784986642069705,0.0132115359392157,0.0114705793987653,0.00261690382732973,0.117518592949527
"26",0.437894479714165,0.243293172179182,0.0884393621153736,0.0524366076327885,0.0387365000734907
"27",0.0157261856208988,0.000691212382653659,0.000198801344310311,0.0160267573314104,0.00386317288650421
"28",0.00157807275872687,0.117931509938037,0.030239078580382,0.0757401713696249,0.00270024907661229
"29",0.0212186956294138,0.000105641258116404,0.00654566113127335,0.000299972324760427,0.0512871461935367
"30",2.16127025501515e-08,0.00104163393824983,0.000391683857492375,0.0368202251338558,0.0302197352128051
"31",0.0142799264205694,3.44972643779384e-06,0.0411212751348197,0.114346453203945,0.0137245490725062
"32",0.0338998293648174,0.0229492865185012,0.00964895008712225,0.000522855922346665,0.0102584746266264
"33",0.0039131044323637,5.96014264795797e-06,0.00372767755355854,0.0120288043158262,0.124743529514387
"34",0.0497783018919601,0.0487475663200484,0.00961483975488711,0.0290445894100736,0.0406169513882492
"35",0.000406171812963094,0.00909100392803555,2.08866734618788e-05,0.00523699635834258,0.0517691974394489
"36",0.000936550330170568,0.00488403914707503,0.00723375732923855,0.0150490718669351,0.00404883157558674
"37",0.0158395274415384,0.00279472675724944,2.21455415448366e-05,0.00389541021554773,0.00776399296596374
"38",0.0207840295006333,0.000601459462039688,0.0140009693323125,0.00734203428736339,0.112514751078816
"39",0.012307255847749,1.96357892540115e-05,0.0189468062708116,0.0364391995970697,0.00826252100701194
"40",0.172369647076743,0.00106841435361955,0.00647713763736513,0.00742041425942959,0.000632384185698803
"41",0.118341936194376,0.0469077334322487,0.115290110314445,0.0202498601613565,0.0135594402179535
"42",0.0369527302019634,0.261386941747374,0.00817315279870355,0.0159317068504047,0.000356772505722428
"43",0.0234558867136554,0.000774675178808667,0.00651859915681077,0.00349847485944498,0.00106999077277196
"44",0.00329181326378616,0.00741213946370146,0.0573723350682772,0.169862927738283,0.0707449655222193
"45",0.00400895816369652,0.037280105875323,0.0148064805935637,0.047126539948217,0.0280131395905485
"46",0.0037902792855901,0.00651703549723015,0.00202974268685478,0.0661069596742596,0.0214725498003498
"47",0.439689509769618,0.239982381860711,0.0899865824274864,0.0553790517531204,0.0396178176423469
"48",0.000356334911051226,0.00286603756465822,0.000752285117081219,0.000124541007603349,0.00338911254524355
"49",0.0361641298800707,0.058894394952441,0.060266611585026,0.000738626444117228,0.0113666781704101
"50",0.0711286332441208,0.246757550114902,0.00584623704445195,0.00210467454466183,0.0110689515053358
"51",0.000476768435263195,0.0143854490381435,0.00313948156352434,0.000296246839031112,0.0360425414986489
"52",0.00345970182463332,0.000118472852906298,0.0241366488591438,0.0645920608044907,0.00991210692413272
"53",0.0440551234727253,0.00824350928935797,0.0107037973197927,0.000492235104979601,0.0223904198911868
"54",0.00595392068179038,0.00582264254384501,0.0134621437050998,0.0135757270242149,0.0995984288044577
"55",0.00120147626149623,1.46161433532769e-05,0.00755783832408967,0.0164553777876316,0.000147333996524878
"56",9.59498517950066e-06,0.0117487928646608,0.00804008513262507,2.91729268949568e-06,0.0574551341274799
"57",0.103686977440592,0.0128406719132743,0.10178919570131,0.204767600615277,0.0273427932138153
"58",0.195794586827739,0.282578885816792,0.000432815322985233,0.0132949968047285,0.0256462081910807
"59",0.00731653676560453,1.04003981449652e-05,0.0132839214490158,0.0645227361972713,0.011659693483287
"60",0.202573139602892,0.0625503503578676,0.178307566231459,0.00025878221366768,0.00184254956653157
"61",0.0107828267539924,0.000353029543328471,0.00522939363137933,0.00792774062937236,0.013242861640416
"62",0.0904167474259731,0.0168035699889626,0.0400377459791014,0.0228572963627475,0.270913694647666
"63",0.00200962744307726,0.015102043289753,0.00914666912236436,0.01120186275281,0.000114777500545015
"64",0.176900628200376,0.0631799025774723,0.329307218784208,0.0255090137322046,0.00270755726429438
"65",0.00230167406078425,0.00411871440264257,0.000189887680164336,0.0013589315840192,0.0232223296631719
"66",0.0161597638663424,0.000135956670097237,0.000138724765957313,0.00188690710047233,0.105377559775262
"67",3.82588575057779e-05,0.00503444655380464,0.00401321703878174,0.00246185502635195,0.000194564531065749
"68",0.0163739324838455,0.000877970552086742,0.0150295853946704,0.182004247632147,5.42552686321428e-08
"69",0.00971443672234299,0.000140856506993571,0.0138127982397014,0.00921234422892753,2.84627907641178e-05
"70",0.0260084809253574,0.000800566953347486,0.0231145053457215,0.0569305871430723,0.00968083524152478
"71",0.00519776644387273,0.00656729213460187,0.00158576485636175,0.030394663658243,0.0178228921294389
"72",0.00549375587631059,0.00198710630576875,0.00260509675203522,0.0219483384919465,0.00744119549081761
"73",0.447261645169454,0.236081466296623,0.0630246171354778,0.0478704870852727,0.0318878619409402
"74",0.0329740234683855,0.00300331870158036,0.0667316325412641,0.0284541862035457,0.0251849324608317
"75",0.435789973900695,0.238573663291774,0.0884094809815218,0.0534558951566032,0.0401328736501601
"76",0.129349829307711,0.0429649225199633,0.213725532687657,0.0323578626991662,0.00255915155686934
"77",0.0346202733868806,0.00137024898014352,0.0245513446552039,0.0144550682555244,0.291194164830528
"78",0.00488916561457405,0.000401719245108482,0.0380245287575238,0.0589552984171356,0.026878631919223
"79",0.0194966534487349,0.00392094573663321,0.00789250674810297,0.0100072556318546,0.163346314772714
"80",0.0519824072010005,0.00487203010526613,0.114770598061033,0.309178290956436,0.0011352515555937
"81",0.000439146061313039,0.00672177379678181,0.000106264660834995,0.0267417110717808,0.0359359308036498
"82",0.0219048479946326,0.00261244705310034,0.0135744015566075,0.030259843864147,0.0301964206781674
"83",0.000735487486209578,0.00199778238387675,0.0142213529380828,0.00287589870464776,0.00123903302240912
"84",0.000455636801009035,0.0202173482936054,0.00472815131981398,0.00220549825009914,0.0341672717754052
"85",0.000312256681615009,0.000612459890228376,0.043761085448141,0.0129018735060071,0.00330504651778128
"86",0.052012954759513,0.00352726235694039,0.0258681751315472,0.0192354683876394,0.0276442983434957
"87",0.0277741698680766,0.000463993825439084,0.126551231550055,0.0544940238441146,0.00533849248502658
